gene_id,gc_content,gene_name
ENSG00000132405.19,49.50,TBC1D14
ENSG00000262801.6,41.56,
ENSG00000287148.1,43.52,LINCADL
ENSG00000248979.2,36.64,LAMTOR3P2
ENSG00000251552.1,40.06,COQ10BP2
ENSG00000249131.2,56.88,PSD2-AS1
ENSG00000250555.2,59.33,
ENSG00000251027.2,36.07,LINC01950
ENSG00000102858.13,55.34,MGRN1
ENSG00000250446.1,42.38,LINC01332
ENSG00000270741.1,37.29,PRELID3BP8
ENSG00000214890.3,40.97,
ENSG00000286676.1,54.77,ACTBP4
ENSG00000230929.5,50.17,
ENSG00000253807.6,38.21,LINC01170
ENSG00000213996.13,55.28,TM6SF2
ENSG00000151882.11,41.26,CCL28
ENSG00000170275.15,44.25,CRTAP
ENSG00000253821.2,38.56,
ENSG00000279686.1,49.40,
ENSG00000254357.1,40.26,XKR4-AS1
ENSG00000253644.2,44.25,LINC02845
ENSG00000255310.2,42.08,
ENSG00000255413.1,36.79,
ENSG00000164512.18,41.57,ANKRD55
ENSG00000149488.14,42.91,TMC2
ENSG00000268278.1,37.16,
ENSG00000147509.14,42.33,RGS20
ENSG00000285582.1,34.60,
ENSG00000229455.2,53.84,RPS10P18
ENSG00000165660.8,42.60,ABRAXAS2
ENSG00000064607.17,50.00,SUGP2
ENSG00000266448.1,60.96,
ENSG00000266120.1,43.47,
ENSG00000243149.2,39.64,LINC02040
ENSG00000173805.16,54.47,HAP1
ENSG00000256463.10,46.74,SALL3
ENSG00000287873.1,44.43,
ENSG00000177732.9,62.19,SOX12
ENSG00000287768.1,50.65,
ENSG00000170373.9,56.78,CST1
ENSG00000187164.20,39.09,SHTN1
ENSG00000255356.2,49.57,
ENSG00000255829.1,43.25,
ENSG00000101441.5,56.43,CST4
ENSG00000091157.15,36.24,WDR7
ENSG00000144619.15,37.97,CNTN4
ENSG00000270490.1,52.71,
ENSG00000134539.17,37.43,KLRD1
ENSG00000157456.8,42.59,CCNB2
ENSG00000171940.14,44.05,ZNF217
ENSG00000248211.1,46.24,TRPC7-AS1
ENSG00000249026.2,48.24,CTNNA1P1
ENSG00000286454.1,35.74,
ENSG00000204193.11,39.93,TXNDC8
ENSG00000184188.6,58.36,
ENSG00000145757.16,37.03,SPATA9
ENSG00000088854.13,43.80,DNAAF9
ENSG00000276225.1,49.48,
ENSG00000275662.1,37.66,SNORD112
ENSG00000275134.1,58.20,
ENSG00000199005.4,57.33,MIR370
ENSG00000202191.1,33.33,SNORD113-1
ENSG00000212384.1,31.94,SNORD113-2
ENSG00000201700.3,38.89,SNORD113-3
ENSG00000201672.1,40.00,SNORD113-4
ENSG00000272474.1,41.03,SNORD113-5
ENSG00000200215.3,40.00,SNORD113-6
ENSG00000200632.1,41.56,SNORD113-7
ENSG00000200367.1,39.19,SNORD113-8
ENSG00000201950.1,41.67,SNORD113-9
ENSG00000199575.1,48.61,SNORD114-1
ENSG00000200823.1,42.31,SNORD114-2
ENSG00000201839.1,48.00,SNORD114-3
ENSG00000249799.1,60.53,SNRPCP13
ENSG00000200832.1,42.67,SNORD114-4
ENSG00000249780.1,47.35,
ENSG00000199798.1,44.29,SNORD114-5
ENSG00000200150.1,35.62,
ENSG00000201263.1,40.28,SNORD114-6
ENSG00000199390.1,40.26,SNORD114-7
ENSG00000250321.1,47.18,
ENSG00000288575.1,45.10,
ENSG00000201240.1,47.22,SNORD114-9
ENSG00000200279.1,36.11,SNORD114-10
ENSG00000125686.12,45.01,MED1
ENSG00000200608.1,49.33,SNORD114-11
ENSG00000244081.1,49.62,
ENSG00000272885.1,31.43,
ENSG00000202270.1,44.00,SNORD114-12
ENSG00000238251.2,39.69,NSA2P7
ENSG00000288589.1,45.47,
ENSG00000201247.1,45.95,SNORD114-13
ENSG00000213558.3,48.33,HMGN2P32
ENSG00000199593.1,46.67,SNORD114-14
ENSG00000275426.1,27.07,
ENSG00000201557.1,45.83,SNORD114-15
ENSG00000169676.6,58.59,DRD5
ENSG00000136925.15,42.28,TSTD2
ENSG00000199914.1,47.14,SNORD114-16
ENSG00000201569.1,42.67,SNORD114-17
ENSG00000202142.1,37.50,SNORD114-18
ENSG00000199942.1,40.00,SNORD114-19
ENSG00000250092.2,36.47,
ENSG00000201500.1,39.74,
ENSG00000201036.1,38.20,
ENSG00000251261.4,46.08,OR7H2P
ENSG00000201710.1,36.00,
ENSG00000251152.1,38.19,
ENSG00000202048.1,47.22,SNORD114-20
ENSG00000272344.1,47.22,SNORD114-21
ENSG00000251281.1,37.46,
ENSG00000202293.1,45.83,SNORD114-22
ENSG00000250371.1,35.97,
ENSG00000200406.1,45.83,SNORD114-23
ENSG00000248445.5,39.50,SEMA6A-AS1
ENSG00000201899.1,44.44,SNORD114-24
ENSG00000251689.1,32.90,
ENSG00000200612.1,47.22,SNORD114-25
ENSG00000200413.1,47.22,SNORD114-26
ENSG00000200636.1,45.71,SNORD114-27
ENSG00000200480.1,47.22,SNORD114-28
ENSG00000201689.1,42.86,SNORD114-29
ENSG00000201318.1,45.83,SNORD114-30
ENSG00000253556.1,38.70,MTCO1P4
ENSG00000200089.1,50.67,SNORD114-31
ENSG00000222095.1,47.30,
ENSG00000222185.1,36.00,
ENSG00000215630.6,50.96,GUSBP9
ENSG00000199088.5,41.79,MIR379
ENSG00000199109.4,46.88,MIR411
ENSG00000207749.4,38.10,MIR299
ENSG00000282989.1,45.83,PDCL3P2
ENSG00000198982.4,40.98,MIR380
ENSG00000221745.3,42.05,MIR1197
ENSG00000199069.3,50.00,MIR323A
ENSG00000211582.1,48.86,MIR758
ENSG00000207761.3,42.50,MIR329-1
ENSG00000249478.1,51.57,
ENSG00000230169.1,37.76,RPL30P16
ENSG00000207762.1,41.67,MIR329-2
ENSG00000194717.4,38.27,MIR494
ENSG00000169744.13,40.20,LDB2
ENSG00000221036.5,55.13,MIR1193
ENSG00000212040.3,38.46,MIR543
ENSG00000253173.3,52.09,H2AZP2
ENSG00000207743.3,37.80,MIR495
ENSG00000283279.1,28.79,MIR376C
ENSG00000249282.1,54.15,
ENSG00000283561.1,33.75,MIR376A2
ENSG00000207934.1,53.09,MIR654
ENSG00000283556.1,35.00,MIR376B
ENSG00000249825.6,44.79,THBS4-AS1
ENSG00000283588.1,29.41,MIR376A1
ENSG00000215957.1,43.37,MIR300
ENSG00000221525.1,38.37,MIR1185-1
ENSG00000221614.1,38.37,MIR1185-2
ENSG00000135547.9,43.64,HEY2
ENSG00000199020.3,40.00,MIR381
ENSG00000207754.3,44.05,MIR487B
ENSG00000202560.4,30.77,MIR539
ENSG00000216099.3,35.44,MIR889
ENSG00000207587.1,36.26,MIR544A
ENSG00000207646.1,35.05,MIR655
ENSG00000207742.3,41.25,MIR487A
ENSG00000034677.13,38.61,RNF19A
ENSG00000283170.1,38.16,MIR382
ENSG00000207993.3,60.27,MIR134
ENSG00000276352.2,59.09,MIR668
ENSG00000208027.4,47.95,MIR485
ENSG00000208004.2,48.78,MIR323B
ENSG00000207978.1,40.48,MIR154
ENSG00000273855.1,50.45,
ENSG00000207961.3,42.16,MIR496
ENSG00000199015.4,39.13,MIR377
ENSG00000240934.2,54.00,
ENSG00000216179.1,53.57,MIR541
ENSG00000199107.3,53.16,MIR409
ENSG00000199012.2,52.75,MIR412
ENSG00000199025.4,37.14,MIR369
ENSG00000199092.4,41.25,MIR410
ENSG00000207959.1,37.18,MIR656
ENSG00000171989.6,41.35,LDHAL6B
ENSG00000259004.2,56.32,LINC02285
ENSG00000270513.1,35.86,
ENSG00000249996.1,38.45,PPIC-AS1
ENSG00000271655.1,41.22,BNIP3P35
ENSG00000286551.1,40.91,
ENSG00000275636.1,37.72,
ENSG00000267641.1,54.22,BNIP3P16
ENSG00000277754.1,43.98,U3
ENSG00000288252.1,40.43,
ENSG00000286157.1,56.21,
ENSG00000288245.1,52.84,
ENSG00000268555.2,44.01,
ENSG00000258681.1,45.75,
ENSG00000287515.1,37.52,
ENSG00000166200.15,35.44,COPS2
ENSG00000274827.4,42.96,LINC01297
ENSG00000205571.14,42.19,SMN2
ENSG00000232362.1,46.62,ATP5MGP2
ENSG00000269431.1,36.96,BNIP3P8
ENSG00000220745.2,57.89,
ENSG00000241282.1,44.61,RPL34P33
ENSG00000278301.1,53.74,GRAMD4P3
ENSG00000124257.7,56.39,NEURL2
ENSG00000272933.1,65.53,TRIM8-DT
ENSG00000187537.13,37.17,POTEG
ENSG00000268747.1,40.32,
ENSG00000078725.13,40.76,BRINP1
ENSG00000154478.4,50.15,GPR26
ENSG00000261558.2,45.39,LINC01859
ENSG00000124596.17,44.19,OARD1
ENSG00000125779.24,45.01,PANK2
ENSG00000111196.10,36.39,MAGOHB
ENSG00000223831.1,45.07,
ENSG00000099958.15,61.13,DERL3
ENSG00000107518.18,35.41,ATRNL1
ENSG00000279966.2,56.45,
ENSG00000268140.1,49.19,PCGF7P
ENSG00000268823.2,56.49,
ENSG00000269458.1,75.44,
ENSG00000268992.1,51.05,CDC42EP3P1
ENSG00000270518.2,51.76,
ENSG00000268296.2,37.29,
ENSG00000270191.1,42.60,BNIP3P31
ENSG00000267238.1,48.29,
ENSG00000268685.1,43.46,
ENSG00000240522.1,50.70,RPL7AP10
ENSG00000269350.1,51.87,
ENSG00000267872.1,45.56,
ENSG00000269110.1,39.78,
ENSG00000253580.1,40.83,TRMT10BP1
ENSG00000272010.1,27.45,
ENSG00000253322.1,37.94,
ENSG00000213999.17,54.54,MEF2B
ENSG00000276888.1,38.21,
ENSG00000212516.1,43.93,RNU6-1268P
ENSG00000104388.15,39.15,RAB2A
ENSG00000148123.15,38.58,PLPPR1
ENSG00000257162.6,61.42,MED15P6
ENSG00000274649.1,43.92,
ENSG00000257432.1,43.07,
ENSG00000273558.1,47.97,
ENSG00000270863.1,43.14,DDX55P1
ENSG00000258324.2,45.83,
ENSG00000214487.3,50.36,OR7E148P
ENSG00000257493.1,42.01,
ENSG00000251357.4,50.93,
ENSG00000278635.1,60.02,
ENSG00000256657.1,37.64,
ENSG00000256238.1,42.64,SUPT16HP1
ENSG00000279467.1,49.38,
ENSG00000256751.6,39.68,PLBD1-AS1
ENSG00000257751.2,61.55,
ENSG00000244425.3,54.70,RN7SL268P
ENSG00000257846.2,54.72,
ENSG00000240972.2,69.82,MIF
ENSG00000101680.16,43.13,LAMA1
ENSG00000259069.1,51.57,
ENSG00000257884.2,49.56,
ENSG00000257395.1,36.99,
ENSG00000256331.1,38.27,NIFKP3
ENSG00000089048.15,37.99,ESF1
ENSG00000258080.1,43.35,ARHGAP42P4
ENSG00000257142.1,48.84,
ENSG00000176294.6,36.24,OR4N2
ENSG00000173391.9,38.78,OLR1
ENSG00000236783.1,44.31,RPS15AP27
ENSG00000235819.2,39.77,
ENSG00000258438.3,41.77,OR11K2P
ENSG00000176312.4,44.10,OR4H12P
ENSG00000258564.2,46.68,OR4N1P
ENSG00000136937.13,37.74,NCBP1
ENSG00000228304.1,41.81,OR4K6P
ENSG00000258541.1,44.88,OR4K4P
ENSG00000068001.14,60.99,HYAL2
ENSG00000259016.1,35.92,
ENSG00000285467.1,43.65,DHRS4L1
ENSG00000279775.1,45.82,
ENSG00000273295.1,50.47,
ENSG00000225282.1,45.98,
ENSG00000141753.7,53.02,IGFBP4
ENSG00000206090.4,53.73,
ENSG00000231271.1,54.33,
ENSG00000186648.15,57.82,CARMIL3
ENSG00000099994.11,64.06,SUSD2
ENSG00000285529.1,39.90,
ENSG00000229466.2,40.09,LINC02627
ENSG00000236426.5,49.68,
ENSG00000234016.1,59.30,GNG10P1
ENSG00000251550.1,38.31,
ENSG00000240074.1,37.98,RPL9P30
ENSG00000165752.17,55.10,STK32C
ENSG00000264435.1,58.37,
ENSG00000266677.1,54.16,
ENSG00000182271.13,41.51,TMIGD1
ENSG00000233080.3,45.97,LINC01399
ENSG00000273068.1,46.14,
ENSG00000238153.1,48.56,
ENSG00000100284.22,53.52,TOM1
ENSG00000255364.1,37.26,SMILR
ENSG00000241367.1,47.47,RPL7AP23
ENSG00000287819.1,53.75,
ENSG00000260368.1,43.78,
ENSG00000254213.2,48.76,PRXL2AP2
ENSG00000000419.14,40.20,DPM1
ENSG00000186451.2,45.20,SPATA12
ENSG00000104375.17,39.53,STK3
ENSG00000239383.1,62.22,
ENSG00000275201.1,35.36,
ENSG00000250611.1,33.41,
ENSG00000226017.2,41.36,PRICKLE2-AS3
ENSG00000126581.13,44.97,BECN1
ENSG00000268105.1,36.78,
ENSG00000251412.1,39.19,
ENSG00000241593.5,34.92,
ENSG00000249995.1,47.30,ECM1P2
ENSG00000251679.1,38.07,
ENSG00000251271.3,54.59,ALG1L7P
ENSG00000268535.1,52.24,MTDHP4
ENSG00000196705.8,39.12,ZNF431
ENSG00000011198.10,40.26,ABHD5
ENSG00000249766.1,61.27,
ENSG00000287713.1,44.09,
ENSG00000249443.1,60.22,
ENSG00000215612.8,59.37,HMX1
ENSG00000166527.8,37.46,CLEC4D
ENSG00000213147.3,50.00,RPL23AP60
ENSG00000129535.13,49.87,NRL
ENSG00000251434.1,38.77,
ENSG00000248228.2,36.22,SLIT2-IT1
ENSG00000188690.15,46.11,UROS
ENSG00000249564.1,41.35,
ENSG00000249998.1,40.91,
ENSG00000279240.1,37.75,
ENSG00000280650.1,36.75,KCNIP4-IT1
ENSG00000205940.8,42.24,HSP90AB2P
ENSG00000213755.3,53.70,
ENSG00000250602.6,39.44,
ENSG00000232358.1,52.12,
ENSG00000247624.6,37.18,CPEB2-DT
ENSG00000026559.14,52.17,KCNG1
ENSG00000250806.2,43.79,
ENSG00000268309.1,47.30,
ENSG00000285616.1,38.61,
ENSG00000269307.1,54.08,
ENSG00000286111.1,35.92,
ENSG00000248528.1,35.70,LINC02058
ENSG00000248245.1,42.40,
ENSG00000267423.1,41.31,
ENSG00000268079.1,42.81,BNIP3P30
ENSG00000250444.1,46.29,CCT5P1
ENSG00000272203.1,37.85,
ENSG00000274612.1,38.30,
ENSG00000251050.1,47.44,RBX1P2
ENSG00000266951.2,49.96,
ENSG00000152990.14,39.05,ADGRA3
ENSG00000248422.1,58.59,
ENSG00000269765.2,46.56,
ENSG00000173926.6,40.93,MARCHF3
ENSG00000242991.2,39.73,RPL7P40
ENSG00000204250.3,34.49,LINC00587
ENSG00000100889.12,49.20,PCK2
ENSG00000267696.6,41.02,ERVK-28
ENSG00000287782.1,55.83,
ENSG00000279835.1,43.79,
ENSG00000268717.1,44.34,BNIP3P33
ENSG00000232896.1,41.91,
ENSG00000168634.5,43.89,WFDC13
ENSG00000060138.13,39.08,YBX3
ENSG00000237124.1,42.35,MTND2P11
ENSG00000267243.6,43.68,
ENSG00000213557.4,44.21,
ENSG00000269994.3,39.90,LINC02893
ENSG00000228373.2,43.46,
ENSG00000266071.1,43.04,MIR3617
ENSG00000149651.4,42.22,SPINT4
ENSG00000270690.1,42.04,
ENSG00000271704.1,39.62,BNIP3P20
ENSG00000135046.14,34.68,ANXA1
ENSG00000245719.1,53.41,
ENSG00000269364.1,55.81,LINC01233
ENSG00000137834.15,50.82,SMAD6
ENSG00000267771.1,42.34,
ENSG00000280079.1,39.06,
ENSG00000268148.1,36.69,VN1R91P
ENSG00000269742.1,40.81,BNIP3P29
ENSG00000243859.3,42.19,RPL5P17
ENSG00000267509.5,39.36,
ENSG00000279860.1,32.21,
ENSG00000248170.1,37.56,
ENSG00000285976.2,37.93,
ENSG00000064601.21,56.09,CTSA
ENSG00000249721.1,42.67,
ENSG00000197360.9,41.75,ZNF98
ENSG00000146005.4,51.80,PSD2
ENSG00000244281.1,43.80,
ENSG00000231883.1,44.78,
ENSG00000182921.9,39.32,GPATCH11P1
ENSG00000216316.1,52.92,
ENSG00000240752.1,46.38,
ENSG00000219814.2,50.22,RPL23AP47
ENSG00000146378.6,37.39,TAAR2
ENSG00000147614.4,39.14,ATP6V0D2
ENSG00000144677.15,42.32,CTDSPL
ENSG00000123545.6,38.15,NDUFAF4
ENSG00000284540.1,57.48,
ENSG00000182141.10,39.17,ZNF708
ENSG00000189007.16,38.38,ADAT2
ENSG00000264265.1,48.46,LINC01925
ENSG00000224279.2,49.10,RPS29P31
ENSG00000177143.5,43.46,CETN1
ENSG00000230912.1,48.60,
ENSG00000287219.1,49.45,
ENSG00000100216.6,48.69,TOMM22
ENSG00000222174.1,47.01,RN7SKP146
ENSG00000288533.1,42.76,
ENSG00000137776.17,38.75,SLTM
ENSG00000266456.1,39.58,
ENSG00000263727.1,47.33,
ENSG00000176890.16,45.66,TYMS
ENSG00000269025.2,56.09,
ENSG00000286362.1,41.78,
ENSG00000269839.1,38.17,
ENSG00000261087.1,42.27,ZNNT1
ENSG00000266248.1,54.43,
ENSG00000267617.2,50.22,
ENSG00000132429.10,39.68,POPDC3
ENSG00000269471.1,58.87,
ENSG00000268174.1,39.21,BNIP3P22
ENSG00000286701.1,37.17,
ENSG00000229598.1,46.79,PRDX3P1
ENSG00000269575.1,49.32,MTDHP5
ENSG00000262116.1,42.37,
ENSG00000283157.1,44.89,
ENSG00000267389.2,52.08,
ENSG00000254253.1,41.03,NACAP10
ENSG00000254343.2,41.42,
ENSG00000244491.1,57.68,
ENSG00000279197.1,36.38,
ENSG00000103528.17,45.90,SYT17
ENSG00000248927.1,33.52,
ENSG00000254334.2,35.49,
ENSG00000285726.1,48.48,
ENSG00000230149.2,57.97,
ENSG00000268058.1,35.79,BNIP3P40
ENSG00000262095.1,36.78,MTATP6P25
ENSG00000270475.1,60.29,
ENSG00000176788.9,43.15,BASP1
ENSG00000273096.1,46.45,
ENSG00000266893.1,43.69,
ENSG00000229036.7,39.20,VDAC1P8
ENSG00000225450.1,53.56,
ENSG00000269345.1,40.14,VN1R85P
ENSG00000267630.1,40.35,
ENSG00000272669.1,56.82,
ENSG00000253629.1,44.05,
ENSG00000273076.1,36.78,
ENSG00000100197.23,62.72,CYP2D6
ENSG00000274033.1,44.96,
ENSG00000259928.1,56.58,
ENSG00000184156.17,43.58,KCNQ3
ENSG00000248752.3,36.99,
ENSG00000283403.1,42.74,
ENSG00000176563.10,44.55,CNTD1
ENSG00000250947.1,44.22,TRPC7-AS2
ENSG00000218716.1,52.65,RPL12P23
ENSG00000285159.1,46.53,
ENSG00000249360.1,58.93,TOMM40P3
ENSG00000269505.2,37.83,ZNF92P2
ENSG00000112195.9,51.11,TREML2
ENSG00000268469.1,38.60,BNIP3P38
ENSG00000157111.13,47.02,TMEM171
ENSG00000183850.14,41.52,ZNF730
ENSG00000284999.1,40.21,
ENSG00000267006.1,31.29,
ENSG00000111817.19,38.20,DSE
ENSG00000198153.8,36.27,ZNF849P
ENSG00000269837.1,46.62,IPO5P1
ENSG00000279425.1,43.76,
ENSG00000269400.1,43.82,
ENSG00000268967.1,33.90,
ENSG00000248338.2,34.15,LINC02472
ENSG00000187664.9,58.50,HAPLN4
ENSG00000249230.1,45.64,CDH12P2
ENSG00000242661.1,39.56,RPS3AP43
ENSG00000242034.1,41.94,
ENSG00000228154.3,44.85,
ENSG00000256211.1,45.01,SKP1P2
ENSG00000164219.10,35.39,PGGT1B
ENSG00000265443.1,51.90,
ENSG00000250942.1,49.92,ENPP7P11
ENSG00000264655.1,50.31,PPIAP54
ENSG00000155269.12,53.96,GPR78
ENSG00000197566.10,37.67,ZNF624
ENSG00000260725.1,47.97,
ENSG00000236312.3,44.35,RPL34P34
ENSG00000267213.4,44.48,DPY19L3-DT
ENSG00000268433.1,53.87,MTDHP3
ENSG00000267498.2,44.15,UQCRFS1-DT
ENSG00000268100.1,37.37,ZNF725P
ENSG00000269067.2,37.95,ZNF728
ENSG00000185775.10,52.93,SPATA31A6
ENSG00000219928.2,52.30,
ENSG00000288072.1,50.14,
ENSG00000225564.6,35.79,LINC01492
ENSG00000266928.1,44.60,
ENSG00000268326.1,39.61,
ENSG00000268521.1,35.96,VN1R83P
ENSG00000287272.1,46.53,
ENSG00000213539.4,54.96,YBX1P6
ENSG00000287070.1,43.41,
ENSG00000267014.6,49.10,LINC01532
ENSG00000187210.14,41.98,GCNT1
ENSG00000132199.20,46.09,ENOSF1
ENSG00000151490.15,37.59,PTPRO
ENSG00000235530.7,50.01,TMEM11-DT
ENSG00000251220.2,41.45,RFPL4AP3
ENSG00000250098.1,46.03,
ENSG00000213091.2,53.09,PHB1P1
ENSG00000242768.2,40.95,
ENSG00000231421.8,54.33,
ENSG00000249828.2,52.52,
ENSG00000284689.1,49.11,OR7E84P
ENSG00000279379.1,37.73,
ENSG00000113658.18,37.17,SMAD5
ENSG00000248532.2,67.62,
ENSG00000248364.1,48.79,OR7E86P
ENSG00000260878.1,29.64,
ENSG00000182557.8,53.26,SPNS3
ENSG00000135299.17,43.03,ANKRD6
ENSG00000154274.15,41.01,C4orf19
ENSG00000270479.1,44.40,BNIP3P37
ENSG00000261770.1,46.86,
ENSG00000242291.1,43.71,RPL36AP51
ENSG00000166828.3,47.50,SCNN1G
ENSG00000267537.1,42.84,
ENSG00000286538.1,52.24,
ENSG00000086061.16,41.08,DNAJA1
ENSG00000283201.1,42.71,
ENSG00000163935.14,40.71,SFMBT1
ENSG00000279387.1,50.24,
ENSG00000267433.1,78.16,
ENSG00000266906.1,29.90,
ENSG00000269136.1,50.06,BRI3BPP1
ENSG00000285890.1,42.47,
ENSG00000213873.4,47.69,PPIAP86
ENSG00000121297.8,44.22,TSHZ3
ENSG00000254275.6,38.95,LINC00824
ENSG00000100427.16,55.49,MLC1
ENSG00000100897.18,50.99,DCAF11
ENSG00000090989.18,34.98,EXOC1
ENSG00000130304.17,53.88,SLC27A1
ENSG00000253651.1,46.48,SOD1P3
ENSG00000225337.1,53.18,
ENSG00000236709.1,43.44,DAPK1-IT1
ENSG00000253124.1,36.67,TRAPPC2P2
ENSG00000232905.2,50.32,
ENSG00000197550.3,34.15,
ENSG00000254112.1,41.38,
ENSG00000286835.1,52.45,
ENSG00000248838.2,47.75,PGAM1P13
ENSG00000229753.1,38.20,RPS27AP15
ENSG00000230782.1,40.50,
ENSG00000253479.6,38.11,LINC01603
ENSG00000235300.4,36.23,SKAP1-AS2
ENSG00000099139.14,40.15,PCSK5
ENSG00000183688.4,48.81,RFLNB
ENSG00000272479.1,38.55,
ENSG00000198846.6,37.57,TOX
ENSG00000266341.1,58.19,
ENSG00000262202.4,56.20,
ENSG00000267261.5,50.51,
ENSG00000285952.1,54.91,
ENSG00000262267.6,41.69,
ENSG00000261448.1,47.22,
ENSG00000260690.1,44.98,CYCSP39
ENSG00000153317.15,42.15,ASAP1
ENSG00000176390.12,42.40,CRLF3
ENSG00000122254.7,43.50,HS3ST2
ENSG00000244183.1,49.29,PPIAP71
ENSG00000283434.2,34.75,CSNKA2IP
ENSG00000231876.8,39.06,
ENSG00000164197.12,36.57,RNF180
ENSG00000267703.1,51.04,
ENSG00000000005.6,40.78,TNMD
ENSG00000249987.1,46.24,RPS4XP20
ENSG00000242911.1,41.00,
ENSG00000240404.2,41.26,
ENSG00000189002.10,36.76,PROS2P
ENSG00000267320.5,42.27,
ENSG00000271174.1,48.10,
ENSG00000170537.13,46.16,TMC7
ENSG00000239767.2,30.32,
ENSG00000126249.8,45.05,PDCD2L
ENSG00000114738.11,53.69,MAPKAPK3
ENSG00000000003.15,40.40,TSPAN6
ENSG00000250130.1,49.20,GAPDHP43
ENSG00000196576.16,64.97,PLXNB2
ENSG00000138593.9,36.73,SECISBP2L
ENSG00000145649.8,39.31,GZMA
ENSG00000264019.1,45.39,
ENSG00000265046.1,49.22,
ENSG00000263477.1,39.17,
ENSG00000264837.1,43.99,VN1R71P
ENSG00000274503.1,62.54,
ENSG00000279882.1,41.53,
ENSG00000281468.1,30.71,
ENSG00000155329.12,42.73,ZCCHC10
ENSG00000267258.1,47.46,PPIAP58
ENSG00000173801.17,54.96,JUP
ENSG00000267779.7,45.81,LINC01533
ENSG00000261316.1,41.95,LINC01834
ENSG00000267027.1,52.09,
ENSG00000268908.1,36.75,VN1R92P
ENSG00000124302.13,50.64,CHST8
ENSG00000239642.6,39.03,MEIKIN
ENSG00000204669.11,40.24,C9orf57
ENSG00000145692.15,41.65,BHMT
ENSG00000232342.7,35.49,
ENSG00000183559.12,46.68,C10orf120
ENSG00000268696.3,39.47,ZNF723
ENSG00000267081.1,45.87,
ENSG00000267934.1,39.75,
ENSG00000231521.1,41.18,
ENSG00000226360.5,51.69,RPL10AP6
ENSG00000278761.1,73.16,DUX4L11
ENSG00000130731.16,67.84,METTL26
ENSG00000204706.14,41.14,MAMDC2-AS1
ENSG00000206538.9,36.27,VGLL3
ENSG00000271670.1,37.82,
ENSG00000154473.18,39.16,BUB3
ENSG00000223819.2,46.06,PPIAP89
ENSG00000238116.2,41.48,RAD21P1
ENSG00000275320.1,40.46,
ENSG00000202231.1,48.87,
ENSG00000224799.1,40.33,
ENSG00000237708.1,41.97,SPIN2P1
ENSG00000222303.1,36.00,RNU6-935P
ENSG00000221930.6,45.01,DENND10P1
ENSG00000249021.1,35.84,
ENSG00000287160.1,40.34,
ENSG00000271677.1,35.77,
ENSG00000109680.11,36.56,TBC1D19
ENSG00000238188.1,54.23,SPRING1P2
ENSG00000228659.1,41.35,LINC01201
ENSG00000080709.16,37.71,KCNN2
ENSG00000196781.16,43.50,TLE1
ENSG00000114480.13,35.25,GBE1
ENSG00000147256.12,46.10,ARHGAP36
ENSG00000265490.1,43.43,
ENSG00000266171.1,43.06,
ENSG00000264339.1,43.76,
ENSG00000264635.1,43.86,
ENSG00000206687.1,48.98,RNU1-109P
ENSG00000206422.3,58.26,LRRC30
ENSG00000134775.16,43.06,FHOD3
ENSG00000276687.1,37.06,
ENSG00000103657.14,38.81,HERC1
ENSG00000164494.12,39.82,PDSS2
ENSG00000180828.3,53.57,BHLHE22
ENSG00000223409.1,43.63,RPL17P17
ENSG00000253656.1,42.41,
ENSG00000243295.2,40.01,CFAP20DC-DT
ENSG00000147676.14,39.64,MAL2
ENSG00000240951.1,38.39,MTCO2P6
ENSG00000239699.1,45.48,HNRNPA3P8
ENSG00000243877.1,42.46,HMGB1P38
ENSG00000240573.1,35.16,
ENSG00000088538.13,40.17,DOCK3
ENSG00000249089.1,51.35,AIG1P1
ENSG00000228290.7,38.58,TBX18-AS1
ENSG00000286882.1,37.31,
ENSG00000253994.1,47.90,NDUFB9P3
ENSG00000251395.1,37.75,FTH1P9
ENSG00000248474.1,42.06,LINC02122
ENSG00000259876.1,48.96,
ENSG00000182674.6,38.90,KCNB2
ENSG00000146006.8,38.26,LRRTM2
ENSG00000213003.3,43.28,BTF3P12
ENSG00000090905.19,42.59,TNRC6A
ENSG00000215712.11,43.27,TMEM242
ENSG00000287949.1,37.10,
ENSG00000176853.16,36.92,FAM91A1
ENSG00000145780.8,35.43,FEM1C
ENSG00000286887.1,46.64,
ENSG00000285733.1,42.44,
ENSG00000249071.2,41.08,EGFLAM-AS3
ENSG00000216642.1,44.62,
ENSG00000082068.9,38.99,WDR70
ENSG00000229349.2,50.15,ACTG1P9
ENSG00000241198.3,51.80,RN7SL191P
ENSG00000276703.1,48.72,RPS29P32
ENSG00000217514.1,46.06,
ENSG00000236366.3,39.50,
ENSG00000269405.7,42.23,NXF2
ENSG00000057663.16,39.61,ATG5
ENSG00000264058.2,37.50,
ENSG00000227484.1,62.63,
ENSG00000161249.21,54.04,DMKN
ENSG00000223461.1,59.83,
ENSG00000272682.1,58.30,
ENSG00000231086.1,57.03,TSSK1A
ENSG00000100056.12,55.92,ESS2
ENSG00000266775.1,49.55,
ENSG00000124160.12,41.79,NCOA5
ENSG00000263045.1,40.11,
ENSG00000228485.1,39.16,GRK5-IT1
ENSG00000233409.1,45.26,FANK1-AS1
ENSG00000213438.2,64.47,YBX2P1
ENSG00000230468.1,54.19,CLUHP5
ENSG00000286295.1,48.53,
ENSG00000126562.17,53.96,WNK4
