gene_id,gene_name,gc_content
ENSG00000238003.1,RPL10P4,53.25
ENSG00000176393.11,RNPEP,48.75
ENSG00000234678.2,ELF3-AS1,50.09
ENSG00000275207.1,MIR6740,47.79
ENSG00000163435.16,ELF3,54.8
ENSG00000212512.2,Y_RNA,39.81
ENSG00000227109.1,CRIP1P3,50.45
ENSG00000143862.8,ARL8A,53.33
ENSG00000243323.7,PTPRVP,55.08
ENSG00000229120.2,CYCSP4,48.39
ENSG00000272262.1,RNU6-89P,35
ENSG00000253042.1,SNORA70,46.61
ENSG00000143858.12,SYT2,50.15
ENSG00000117139.18,KDM5B,41.04
ENSG00000226148.1,SLC25A39P1,54.46
ENSG00000184774.10,MGAT4EP,47.67
ENSG00000234996.4,ACTG1P25,46.36
ENSG00000183155.5,RABIF,45.5
ENSG00000117153.16,KLHL12,41.92
ENSG00000230280.2,HNRNPA1P59,46.3
ENSG00000199471.1,Y_RNA,43.56
ENSG00000159346.13,ADIPOR1,44.28
ENSG00000159348.13,CYB5R1,50.27
ENSG00000163444.12,TMEM183A,41.51
ENSG00000122180.5,MYOG,58.01
ENSG00000163485.17,ADORA1,48.14
ENSG00000133048.13,CHI3L1,54.8
ENSG00000133063.16,CHIT1,45.2
ENSG00000236523.2,NPM1P40,39.15
ENSG00000159388.6,BTG2,53.33
ENSG00000202300.1,RNU6-487P,43.27
ENSG00000122176.12,FMOD,50.22
ENSG00000271588.1,LARP7P1,35.44
ENSG00000188783.6,PRELP,50
ENSG00000188770.10,OPTC,51.15
ENSG00000236035.2,NSA2P1,40.4
ENSG00000221643.1,SNORA77,56.8
ENSG00000122188.13,LAX1,46.2
ENSG00000058673.17,ZC3H11A,40.74
ENSG00000223505.2,RPL35AP5,44.51
ENSG00000182004.13,SNRPE,42.4
ENSG00000236430.1,KRT8P29,51.12
ENSG00000232917.5,HSPE1P6,40.89
ENSG00000237379.1,CBX1P3,45.31
ENSG00000176754.13,LINC00303,48.01
ENSG00000143842.15,SOX13,51.76
ENSG00000143845.15,ETNK2,52.56
ENSG00000230550.2,ERLNC1,51.77
ENSG00000143839.15,REN,48.56
ENSG00000174567.8,GOLT1A,47.46
ENSG00000143850.16,PLEKHA6,48.91
ENSG00000280924.1,LINC00628,52.13
ENSG00000200408.1,RNA5SP74,57.8
ENSG00000170382.12,LRRN2,50.12
ENSG00000252650.1,RNA5SP75,54.95
ENSG00000184144.12,CNTN2,54.18
ENSG00000174529.7,TMEM81,47.52
ENSG00000117222.14,RBBP5,40.77
ENSG00000133059.17,DSTYK,43.6
ENSG00000133069.17,TMCC2,51.63
ENSG00000225063.1,TMCC2-AS1,46.96
ENSG00000163545.11,NUAK2,51.29
ENSG00000162873.15,KLHDC8A,50.87
ENSG00000235363.1,SNRPGP10,39.11
ENSG00000226235.1,LEMD1-AS1,44.6
ENSG00000186007.10,LEMD1,46.82
ENSG00000281406.2,BLACAT1,55.03
ENSG00000199059.3,MIR135B,52.58
ENSG00000224717.1,LEMD1-DT,49.66
ENSG00000117266.16,CDK18,55.71
ENSG00000253097.1,RNU2-19P,42.86
ENSG00000174514.13,MFSD4A,50.98
ENSG00000206762.1,RNU6-418P,45.79
ENSG00000158711.14,ELK4,41.89
ENSG00000158715.6,SLC45A3,54.44
ENSG00000275213.1,Metazoa_SRP,51.03
ENSG00000069275.13,NUCKS1,39.53
ENSG00000201944.1,SNORA72,35.61
ENSG00000117280.13,RAB29,46.01
ENSG00000133065.11,SLC41A1,50.84
ENSG00000162877.13,PM20D1,46.63
ENSG00000174502.19,SLC26A9,52.02
ENSG00000276600.5,RAB7B,48
ENSG00000196188.12,CTSE,43.82
ENSG00000263961.8,RHEX,44.16
ENSG00000198049.7,AVPR1B,51.42
ENSG00000225483.1,RPL22P4,40.26
ENSG00000263528.8,IKBKE,53.36
ENSG00000278465.1,MIR6769B,62.9
ENSG00000162888.4,C1orf147,52.91
ENSG00000266094.8,RASSF5,48.2
ENSG00000143486.16,EIF2D,46.17
ENSG00000162889.11,MAPKAPK2,48.73
ENSG00000199349.1,Y_RNA,39.82
ENSG00000136634.7,IL10,48.26
ENSG00000162892.16,IL24,48.47
ENSG00000162894.12,FCMR,48.29
ENSG00000162896.6,PIGR,49.28
ENSG00000162897.16,FCAMR,48.99
ENSG00000182795.13,C1orf116,47.45
ENSG00000123836.15,PFKFB2,42.36
ENSG00000123843.13,C4BPB,40
ENSG00000123838.11,C4BPA,39.23
ENSG00000224462.2,C4BPAP1,36.49
ENSG00000232621.1,C4BPAP2,37.91
ENSG00000203710.12,CR1,39.16
ENSG00000197721.17,CR1L,40.5
ENSG00000244703.3,CD46P1,41.32
ENSG00000226289.1,CDCA4P3,58.06
ENSG00000274059.1,RNA5SP534,45.24
ENSG00000234219.1,CDCA4P4,58.53
ENSG00000284214.1,MIR29C,44.32
ENSG00000284203.1,MIR29B2,39.51
ENSG00000174059.17,CD34,45.46
ENSG00000284237.1,LINC02767,49.45
ENSG00000076356.7,PLXNA2,47.99
ENSG00000261453.2,LINC01735,40.43
ENSG00000259815.1,LINC02769,41.56
ENSG00000227887.1,RPS26P13,50
ENSG00000232812.2,LINC01717,34.87
ENSG00000236950.1,LINC01774,38.51
ENSG00000224540.1,TFDP1P1,52.7
ENSG00000225712.1,ATP5MC2P1,53.76
ENSG00000227940.2,LINC01696,41.28
ENSG00000231648.2,LINC01698,42.54
ENSG00000284485.1,MIR205,48.18
ENSG00000008118.10,CAMK1G,47.01
ENSG00000196878.15,LAMB3,49.93
ENSG00000283876.1,MIR4260,58.21
ENSG00000123689.6,G0S2,57.61
ENSG00000117594.10,HSD11B1,40.88
ENSG00000236136.1,ADORA2BP1,50.36
ENSG00000009790.15,TRAF3IP3,45.61
ENSG00000162757.4,C1orf74,44.56
ENSG00000117597.18,UTP25,41.46
ENSG00000082497.12,SERTAD4,43.14
ENSG00000228110.4,ST13P19,48.38
ENSG00000054392.13,HHAT,42.26
ENSG00000200972.1,RNU5A-8P,39.47
ENSG00000224668.1,IPO8P1,39.5
ENSG00000234233.1,KCNH1-IT1,47.01
ENSG00000226986.4,PRELID1P5,54.32
ENSG00000117625.14,RCOR3,37.38
ENSG00000082512.15,TRAF5,44.65
ENSG00000236809.2,SNX25P1,45.71
ENSG00000238137.2,ARPC3P2,40.53
ENSG00000170385.10,SLC30A1,40.58
ENSG00000227764.2,LINC01693,47.12
ENSG00000117650.13,NEK2,39.5
ENSG00000224763.1,FDPSP8,50.6
ENSG00000123684.13,LPGAT1,38.29
ENSG00000241395.3,RN7SL344P,55.07
ENSG00000212205.1,Y_RNA,42.05
ENSG00000229258.6,LPGAT1-AS1,42.15
ENSG00000143493.13,INTS7,38.12
ENSG00000143476.18,DTL,38.44
ENSG00000220749.4,RPL21P28,43.06
ENSG00000264358.1,MIR3122,50.68
ENSG00000252879.1,RN7SKP98,51.92
ENSG00000066027.12,PPP2R5A,39.33
ENSG00000225338.1,RPL23AP18,48.72
ENSG00000201544.1,SNORA16B,41.48
ENSG00000065600.13,PACC1,44.57
ENSG00000117691.10,NENF,47.62
ENSG00000224535.2,LINC02771,51.39
ENSG00000228067.1,LINC01740,39.53
ENSG00000162772.17,ATF3,43.16
ENSG00000237980.2,LINC02773,45.11
ENSG00000123685.9,BATF3,48.81
ENSG00000117697.15,NSL1,39.75
ENSG00000203705.11,TATDN3,40.56
ENSG00000185523.6,SPATA45,43.95
ENSG00000162769.13,FLVCR1,40.24
ENSG00000174606.14,ANGEL2,38.71
ENSG00000136643.12,RPS6KC1,37.51
ENSG00000228646.3,RPL31P13,45.41
ENSG00000281664.1,LINC00538,42.55
ENSG00000117707.16,PROX1,41.17
ENSG00000283518.1,LINC02775,40.77
ENSG00000143499.14,SMYD2,43.58
ENSG00000152104.12,PTPN14,41.3
ENSG00000215819.3,KRT18P12,56.79
ENSG00000250536.1,ABHD17AP3,66.83
ENSG00000224584.2,UBE2V1P13,41.23
ENSG00000185221.6,GAPDHP24,48.52
ENSG00000082482.14,KCNK2,36.37
ENSG00000232809.1,VDAC1P10,43.32
ENSG00000136636.13,KCTD3,36.09
ENSG00000042781.14,USH2A,36.36
ENSG00000202498.1,SNORD116,38.04
ENSG00000233620.5,USH2A-AS2,35.42
ENSG00000236292.1,USH2A-AS1,37.34
ENSG00000226013.1,MRPS18BP1,58.33
ENSG00000196482.18,ESRRG,38.06
ENSG00000092978.11,GPATCH2,36.36
ENSG00000162814.11,SPATA17,35.7
ENSG00000234070.1,SPATA17-AS1,30.82
ENSG00000228247.1,UBBP2,51.52
ENSG00000231814.3,LINC00210,41.85
ENSG00000232100.1,LINC01653,37.29
ENSG00000201493.1,RNU1-141P,46.2
ENSG00000067533.6,RRP15,37.63
ENSG00000092969.12,TGFB2,42.03
ENSG00000281453.1,TGFB2-OT1,32.75
ENSG00000228208.7,LINC02869,39.84
ENSG00000212610.2,U3,44.76
ENSG00000226693.1,NXNP1,50.14
ENSG00000225561.2,LINC01710,37.33
ENSG00000143353.12,LYPLAL1,33.93
ENSG00000225920.2,RIMKLBP2,43.73
ENSG00000228536.3,LYPLAL1-AS1,38.77
ENSG00000252086.1,RNA5SP76,48.28
ENSG00000221673.2,U3,47.2
ENSG00000136628.18,EPRS1,38.09
ENSG00000162813.18,BPNT1,40.42
ENSG00000067704.10,IARS2,39.19
ENSG00000207590.1,MIR215,34.55
ENSG00000207624.1,MIR194-1,41.18
ENSG00000232134.1,RPS15AP12,44.85
ENSG00000281696.1,MIR664A,31.71
ENSG00000222370.1,SNORA36B,35.88
ENSG00000270585.1,SNX2P1,35.94
ENSG00000218283.2,MORF4L1P1,43.74
ENSG00000213033.4,AURKAP1,44.14
ENSG00000230318.2,XRCC6P3,46.08
ENSG00000226226.1,PRELID3BP1,45.61
ENSG00000231529.2,LINC02779,42.89
ENSG00000116141.17,MARK1,37.11
ENSG00000243872.3,RN7SL464P,54.21
ENSG00000233012.2,HDAC1P2,46.87
ENSG00000162817.7,C1orf115,47.84
ENSG00000117791.16,MTARC2,44.02
ENSG00000221571.3,RNU6ATAC35P,31.53
ENSG00000238078.1,LINC01352,43.65
ENSG00000257551.1,HLX-AS1,39.53
ENSG00000136630.13,HLX,54.52
ENSG00000234754.2,LINC02817,40.76
ENSG00000143507.18,DUSP10,41.32
ENSG00000227925.2,LINC01655,42.87
ENSG00000200033.1,RNU6-403P,38.46
ENSG00000238042.5,LINC02257,41.3
ENSG00000228437.5,LINC02474,43.46
ENSG00000232679.2,LINC01705,42.01
ENSG00000227613.1,QRSL1P2,40.25
ENSG00000234419.1,CICP13,61.31
ENSG00000222399.1,RNU6-791P,39.42
ENSG00000143512.13,HHIPL2,43.76
ENSG00000143498.18,TAF1A,36.34
ENSG00000225265.2,TAF1A-AS1,39.71
ENSG00000154305.18,MIA3,39.14
ENSG00000186063.13,AIDA,38.46
ENSG00000162819.12,BROX,36.81
ENSG00000154309.9,DISP1,37.25
ENSG00000234523.1,NDUFB1P2,37.5
ENSG00000187554.14,TLR5,46.59
ENSG00000251789.2,RNU4-57P,35.56
ENSG00000178395.7,CCDC185,63.04
ENSG00000203697.12,CAPN8,46.64
ENSG00000227002.2,SNRPEP10,38.69
ENSG00000212398.1,RNU6-1248P,40.62
ENSG00000162909.18,CAPN2,48.73
ENSG00000188460.4,ACTBP11,57.82
ENSG00000233771.2,CICP5,61.1
ENSG00000212157.1,RNU6-1319P,38.46
ENSG00000252484.1,RN7SKP49,41.54
ENSG00000143756.12,FBXO28,40.96
ENSG00000143753.13,DEGS1,46.06
ENSG00000201898.1,SNORA72,35.43
ENSG00000143748.18,NVL,41.56
ENSG00000221406.1,MIR320B2,36.96
ENSG00000206887.1,RNU6-1008P,45.19
ENSG00000143771.12,CNIH4,43.2
ENSG00000266618.1,MIR4742,34.12
ENSG00000143786.8,CNIH3,44.14
ENSG00000229991.1,AKR1B1P1,51.88
ENSG00000233384.3,CNIH3-AS2,45.09
ENSG00000234247.1,DNAJB6P6,40.2
ENSG00000229400.1,CNIH3-AS1,47.21
ENSG00000225334.3,LINC02813,41.09
ENSG00000143815.15,LBR,41.69
ENSG00000223306.2,RNU6-1304P,37.74
ENSG00000143742.14,SRP9,40.6
ENSG00000196187.12,TMEM63A,51.62
ENSG00000243709.1,LEFTY1,50.49
ENSG00000284519.1,MIR6741,65.08
ENSG00000143768.13,LEFTY2,56.27
ENSG00000213032.3,NDUFA3P3,58
ENSG00000143751.10,SDE2,40.61
ENSG00000163041.13,H3-3A,44.55
ENSG00000225518.3,LINC01703,49.24
ENSG00000182827.9,ACBD3,41.45
ENSG00000234478.1,ACBD3-AS1,41.24
ENSG00000185155.12,MIXL1,50.97
ENSG00000236994.1,YBX1P9,53.17
ENSG00000143799.14,PARP1,46.86
ENSG00000229965.1,RPS3AP7,43.15
ENSG00000223282.1,RN7SKP165,50.84
ENSG00000177770.11,CDKN2AIPNLP1,52.65
ENSG00000228548.1,ITPKB-AS1,44.45
ENSG00000238183.2,RPS27P5,50.82
ENSG00000143801.18,PSEN2,48.2
ENSG00000163050.18,COQ8A,53.68
ENSG00000234277.3,LINC01641,42.45
ENSG00000232864.1,NUCKS1P1,42.67
ENSG00000224834.1,BTF3P9,45.94
ENSG00000237469.2,TUBB8P10,58.8
ENSG00000235827.2,TUBB8P9,58.93
ENSG00000202264.1,RNA5SP77,55
ENSG00000181450.18,ZNF678,40.32
ENSG00000225934.2,FAM133FP,35.17
ENSG00000215812.5,ZNF847P,40.29
ENSG00000230005.2,SNAP47-AS1,51.5
ENSG00000143816.8,WNT9A,57.27
ENSG00000264483.1,MIR5008,70.21
ENSG00000233003.4,CICP26,61.06
ENSG00000274886.1,SEPTIN14P17,40.11
ENSG00000154342.6,WNT3A,52.51
ENSG00000276255.2,LINC02809,55.98
ENSG00000284163.1,MIR3620,70.89
ENSG00000143793.13,C1orf35,60.86
ENSG00000162910.19,MRPL55,56.68
ENSG00000143774.17,GUK1,61.76
ENSG00000198835.4,GJC2,62.35
ENSG00000203684.5,IBA57-DT,52.98
ENSG00000181873.13,IBA57,54.58
ENSG00000162913.10,OBSCN-AS1,60.11
ENSG00000154370.16,TRIM11,56.97
ENSG00000284311.1,MIR6742,64.52
ENSG00000162931.12,TRIM17,56.74
ENSG00000168148.4,H3-4,63.37
ENSG00000230841.2,RPL23AP15,47.71
ENSG00000266174.1,MIR4666A,35.44
ENSG00000215811.6,BTNL10,53.59
ENSG00000202056.1,RNA5SP19,57.8
ENSG00000251823.2,RNA5SP162,59.09
ENSG00000199352.1,RNA5S1,60.5
ENSG00000201588.1,RNA5S2,60.5
ENSG00000199337.1,RNA5S3,60.5
ENSG00000200381.1,RNA5S4,60.5
ENSG00000199396.1,RNA5S5,60.5
ENSG00000200624.1,RNA5S6,60.5
ENSG00000202521.1,RNA5S7,60.5
ENSG00000200343.1,RNA5S8,60.5
ENSG00000201321.1,RNA5S9,61.34
ENSG00000199910.1,RNA5S10,60.5
ENSG00000199334.1,RNA5S11,60.5
ENSG00000199270.1,RNA5S12,60.5
ENSG00000202526.1,RNA5S13,60.5
ENSG00000201355.1,RNA5S14,60.5
ENSG00000201925.1,RNA5S15,60.5
ENSG00000202257.1,RNA5S16,60.5
ENSG00000200370.1,RNA5S17,60.5
ENSG00000212237.1,RNA5SP18,56.2
ENSG00000183929.7,DUSP5P1,56.28
ENSG00000234975.6,FTH1P2,47.33
ENSG00000116574.6,RHOU,45.48
ENSG00000282111.1,LINC02815,47.6
ENSG00000229840.2,ISCA1P2,38.24
ENSG00000236975.2,LINC02814,46.52
ENSG00000177800.2,TMEM78,44.55
ENSG00000168118.12,RAB4A,41.32
ENSG00000154429.11,CCSAP,43.58
ENSG00000252506.1,RNU6-180P,42.62
ENSG00000252051.1,RN7SKP276,49.25
ENSG00000069248.12,NUP133,40.26
ENSG00000135776.5,ABCB10,43.63
ENSG00000199672.1,RNU4-21P,42.86
ENSG00000201492.1,RNA5SP78,55.93
ENSG00000229367.1,HMGN2P19,50.57
ENSG00000135763.10,URB2,43.58
ENSG00000225984.1,HMGB1P26,42.68
ENSG00000227043.3,LINC01682,44.74
ENSG00000143641.10,GALNT2,45.94
ENSG00000177614.11,PGBD5,48.33
ENSG00000232964.2,LINC01737,40.53
ENSG00000135775.14,COG2,39.42
ENSG00000135773.13,CAPN9,47.85
ENSG00000202063.1,RNA5SP79,55.96
ENSG00000119280.17,C1orf198,47.8
ENSG00000240502.2,RN7SL837P,54.7
ENSG00000143643.13,TTC13,39.73
ENSG00000173409.14,ARV1,41.64
ENSG00000182118.8,FAM89A,47.03
ENSG00000283799.1,MIR1182,58.76
ENSG00000235710.6,TRIM67-AS1,51.27
ENSG00000143633.13,C1orf131,43.5
ENSG00000116906.13,GNPAT,41.78
ENSG00000222407.1,RNA5SP80,47.75
ENSG00000116903.7,EXOC8,43.25
ENSG00000010072.16,SPRTN,41.57
ENSG00000135766.9,EGLN1,39.6
ENSG00000223982.3,SNRPD2P2,55.56
ENSG00000116918.15,TSNAX,37.77
ENSG00000270106.6,TSNAX-DISC1,41.64
ENSG00000229228.1,LINC00582,41.87
ENSG00000162946.23,DISC1,42.18
ENSG00000222986.1,RNU5A-5P,36.21
ENSG00000226758.1,DISC1-IT1,44.91
ENSG00000242794.2,RN7SL299P,51.07
ENSG00000238382.1,RNU6-1211P,37.14
ENSG00000225919.1,LINC01745,39.55
ENSG00000236497.2,LINC01744,42.29
ENSG00000206835.1,RNU1-74P,46.78
ENSG00000135778.12,NTPCR,42.72
ENSG00000135749.19,PCNX2,40.87
ENSG00000231940.1,RPS7P3,46.03
ENSG00000143674.11,MAP3K21,39.9
ENSG00000252501.1,RNU4-77P,40.38
ENSG00000135750.15,KCNK1,42.07
ENSG00000265744.1,MIR4427,39.71
ENSG00000183780.13,SLC35F3,42.38
ENSG00000236101.1,RAC1P7,44.3
ENSG00000236244.1,SLC35F3-AS1,41.4
ENSG00000264377.1,MIR4671,36.99
ENSG00000168275.16,COA6,43.85
ENSG00000059588.10,TARBP1,40.31
ENSG00000231768.2,LINC01354,46
ENSG00000212144.1,U8,39.84
ENSG00000224939.1,LINC00184,41.99
ENSG00000227630.4,LINC01132,51.03
ENSG00000201638.2,RNY4P16,42.55
ENSG00000239690.3,RN7SL668P,58.42
ENSG00000173726.11,TOMM20,41.52
ENSG00000207181.1,SNORA14B,46.67
ENSG00000188739.15,RBM34,44.35
ENSG00000054267.22,ARID4B,39.95
ENSG00000263439.1,MIR4753,38.55
ENSG00000236863.2,RPL23AP23,48.2
ENSG00000152904.11,GGPS1,43.08
ENSG00000284770.2,TBCE,44.21
ENSG00000229795.2,RPS21P1,51.42
ENSG00000162885.14,B3GALNT2,40.22
ENSG00000238236.1,MTCYBP14,40.14
ENSG00000235638.1,MTND6P14,41.95
ENSG00000231199.2,MTND5P19,41.14
ENSG00000226663.2,MTND4P10,39.18
ENSG00000231582.2,MTND4LP21,39.66
ENSG00000232714.1,MTND3P8,43.66
ENSG00000235761.2,MTCO3P46,44.4
ENSG00000168243.11,GNG4,48.07
ENSG00000235674.2,LDHAP2,45.08
ENSG00000229463.2,LYST-AS1,42.29
ENSG00000222831.1,MIR1537,40.98
ENSG00000206803.1,RNU6-968P,42.06
ENSG00000229291.1,LINC02768,42.49
ENSG00000116962.15,NID1,44.97
ENSG00000252822.1,Y_RNA,39.58
ENSG00000077585.14,GPR137B,43.63
ENSG00000222650.1,RNU2-70P,46.37
ENSG00000186197.15,EDARADD,44.77
ENSG00000244457.2,ENO1P1,51.69
ENSG00000116977.19,LGALS8,43.48
ENSG00000223776.5,LGALS8-AS1,60.74
ENSG00000119285.11,HEATR1,38.52
ENSG00000226498.2,RPSAP21,51.75
ENSG00000237991.3,RPL35P1,56.49
ENSG00000244020.3,MT1HL1,59
ENSG00000252396.1,RN7SKP195,53.47
ENSG00000266262.1,MIR4428,58.9
ENSG00000283174.1,MTCO1P38,41.67
ENSG00000232154.2,MTCYBP15,39.22
ENSG00000225723.1,MTND6P15,36.85
ENSG00000227860.1,MTND5P18,38.98
ENSG00000230019.1,YWHAQP9,44.95
ENSG00000252371.1,RNU6-725P,41.18
ENSG00000215808.4,LINC01139,38.21
ENSG00000215149.3,KRT18P32,56.41
ENSG00000224783.1,MIPEPP2,41.4
ENSG00000133019.12,CHRM3,38.67
ENSG00000233355.7,CHRM3-AS2,37.5
ENSG00000234601.1,CHRM3-AS1,35.76
ENSG00000217327.3,RPS7P5,45.44
ENSG00000202041.1,Y_RNA,36.07
ENSG00000223694.1,ADH5P3,46.35
ENSG00000252317.1,Y_RNA,37.63
ENSG00000180875.5,GREM2,40.58
ENSG00000251750.1,RNU5F-8P,36.94
ENSG00000199241.1,Y_RNA,40
ENSG00000223963.2,THAP12P8,40
ENSG00000215802.3,RFKP1,48.6
ENSG00000233615.1,HNRNPA1P42,45.87
ENSG00000265831.1,MIR3123,38.67
ENSG00000117009.12,KMO,38
ENSG00000054277.14,OPN3,39.62
ENSG00000203668.3,CHML,38.23
ENSG00000174371.17,EXO1,39.58
ENSG00000235990.2,RPL23AP20,49.64
ENSG00000196289.7,BECN2,59.18
ENSG00000213026.4,CFL1P4,51.81
ENSG00000197769.6,MAP1LC3C,49.02
ENSG00000224625.2,TUBB8P6,53.01
ENSG00000180287.17,PLD5,40.38
ENSG00000252084.1,RN7SKP12,41.96
ENSG00000235467.1,RPL10AP5,48.26
ENSG00000215800.2,RSL24D1P4,39.46
ENSG00000278455.1,CICP21,60.17
ENSG00000212230.1,RNU6-747P,38.46
ENSG00000143702.16,CEP170,36.28
ENSG00000054282.16,SDCCAG8,39.81
ENSG00000224727.1,FCF1P7,45.77
ENSG00000265201.1,MIR4677,46.25
ENSG00000226766.1,FABP7P1,40.41
ENSG00000228939.1,AKT3-IT1,43.31
ENSG00000226828.2,LINC02774,42.51
ENSG00000244066.3,RN7SL148P,56.63
ENSG00000173728.11,C1orf100,44.83
ENSG00000225401.2,TGIF2P1,59.42
ENSG00000035687.10,ADSS2,38.09
ENSG00000179397.18,CATSPERE,39.42
ENSG00000227735.1,CYCSP5,44.44
ENSG00000121644.19,DESI2,40.31
ENSG00000203667.10,COX20,38.72
ENSG00000201758.1,RN7SKP55,53.42
ENSG00000252073.1,RNU6-947P,32.08
ENSG00000252282.1,RNU6-1089P,43.27
ENSG00000251754.1,RNU6-999P,44.76
ENSG00000201170.1,RNU1-132P,51.83
ENSG00000162849.16,KIF26B,44.8
ENSG00000232192.1,KIF26B-AS1,46.37
ENSG00000232793.2,DNAJC19P8,45.17
ENSG00000185420.19,SMYD3,40.6
ENSG00000226876.3,SMYD3-AS1,39.42
ENSG00000225222.2,CHCHD4P5,45.67
ENSG00000202184.1,RNU6-1283P,35.24
ENSG00000230184.1,SMYD3-IT1,46.52
ENSG00000207326.1,Y_RNA,39.47
ENSG00000242042.1,LINC01743,57.61
ENSG00000162851.8,TFB2M,41.9
ENSG00000162852.14,CNST,41.31
ENSG00000143653.10,SCCPDH,41.65
ENSG00000228879.1,RPL35AP6,47.52
ENSG00000223519.8,KIF28P,46.66
ENSG00000227953.7,LINC01341,52.3
ENSG00000153207.16,AHCTF1,38.74
ENSG00000197472.15,ZNF695,42.51
ENSG00000135747.11,ZNF670-ZNF695,42.2
ENSG00000277462.2,ZNF670,41.13
ENSG00000188295.15,ZNF669,43.07
ENSG00000226164.2,FGFR3P6,59.02
ENSG00000283881.1,MIR3916,47.87
ENSG00000252516.1,RNA5SP82,52.17
ENSG00000235818.3,VN1R17P,40.37
ENSG00000197617.9,VN1R5,41.4
ENSG00000202079.1,Y_RNA,43.93
ENSG00000162711.18,NLRP3,46.68
ENSG00000169224.13,GCSAML,40.49
ENSG00000196242.10,OR2C3,42.49
ENSG00000177489.1,OR2G2,48.43
ENSG00000177476.3,OR2G3,46.24
ENSG00000283369.1,U6,39.47
ENSG00000198452.8,OR14L1P,34.84
ENSG00000230411.1,OR3D1P,43.77
ENSG00000241128.2,OR14A2,40.75
ENSG00000153230.4,OR14K1,46.56
ENSG00000221888.4,OR1C1,35.9
ENSG00000228336.2,OR9H1P,35.87
ENSG00000232908.3,HSD17B7P1,44.74
ENSG00000230576.1,OR6R1P,50.43
ENSG00000197591.3,OR11L1,51.08
ENSG00000162722.9,TRIM58,43.73
ENSG00000238243.3,OR2W3,56.93
ENSG00000177275.4,OR2AJ1,35.46
ENSG00000226191.3,CLK3P2,59.6
ENSG00000224830.2,OR2X1P,34.93
ENSG00000279263.1,OR2L8,44.94
ENSG00000187080.10,OR2AK2,42.81
ENSG00000237492.1,OR2L9P,44.03
ENSG00000199442.1,Y_RNA,47.42
ENSG00000232215.2,OR2L6P,45.32
ENSG00000197454.2,OR2L5,35.51
ENSG00000200085.1,Y_RNA,44.12
ENSG00000203663.4,OR2L2,35.53
ENSG00000200982.1,Y_RNA,46.08
ENSG00000198128.4,OR2L3,35.43
ENSG00000177233.2,OR2M1P,47.74
ENSG00000162727.3,OR2M5,47.82
ENSG00000228198.3,OR2M3,35.98
ENSG00000171180.3,OR2M4,37.35
ENSG00000177212.4,OR2T33,35.77
ENSG00000177186.3,OR2M7,46.75
ENSG00000177174.1,OR14C36,46.43
ENSG00000175143.5,OR2T1,37.84
ENSG00000227152.6,OR2T7,39.32
ENSG00000196539.3,OR2T3,53.5
ENSG00000203661.4,OR2T5,42.3
ENSG00000271934.2,OR2AS2P,45.91
ENSG00000227102.2,OR2AS1P,45.45
ENSG00000183310.3,OR2T34,53.61
ENSG00000184022.4,OR2T10,36.87
ENSG00000201602.1,Y_RNA,37.61
ENSG00000177151.5,OR2T35,41.13
ENSG00000189181.5,OR14I1,47.57
ENSG00000229703.6,LYPD9P,41.83
ENSG00000242529.1,AHCYP8,52.63
ENSG00000259823.6,LYPD8,51.05
ENSG00000229663.1,DPY19L4P1,37.86
ENSG00000175137.11,SH3BP5L,52.13
ENSG00000264500.1,MIR3124,58.21
ENSG00000171161.13,ZNF672,52.37
ENSG00000171163.16,ZNF692,54.21
ENSG00000185220.12,PGBD2,46.25
ENSG00000200495.1,RNU6-1205P,40.57
ENSG00000233084.2,RPL23AP25,50.32
ENSG00000184731.6,FAM110C,46.22
ENSG00000035115.22,SH3YL1,40.78
ENSG00000143727.16,ACP1,42.67
ENSG00000189292.16,ALKAL2,48.13
ENSG00000233684.2,LINC01865,41.96
ENSG00000223985.2,LINC01874,48.33
ENSG00000225942.1,LINC01875,57.71
ENSG00000151353.15,TMEM18,51.4
ENSG00000233296.2,TMEM18-DT,43.49
ENSG00000237667.7,LINC01115,45.04
ENSG00000228799.6,LINC01939,42.2
ENSG00000172554.12,SNTG2,42.85
ENSG00000115705.22,TPO,48.22
ENSG00000130508.11,PXDN,49.9
ENSG00000225619.1,MYT1L-AS1,40.93
ENSG00000234423.2,LINC01250,43.67
ENSG00000032389.13,EIPR1,48.26
ENSG00000224885.1,EIPR1-IT1,47.97
ENSG00000171853.16,TRAPPC12,47.39
ENSG00000225234.1,TRAPPC12-AS1,54.54
ENSG00000182551.14,ADI1,44.46
ENSG00000171865.10,RNASEH1,44.2
ENSG00000171863.15,RPS7,44.62
ENSG00000118004.18,COLEC11,51.1
ENSG00000188765.7,TMSB4XP2,49.52
ENSG00000151360.10,ALLC,44.44
ENSG00000232718.1,GAPDHP48,48.18
ENSG00000214866.9,DCDC2C,44.56
ENSG00000237401.8,LINC01304,45.92
ENSG00000231821.1,NPM1P48,40.21
ENSG00000231532.6,LINC01249,38.43
ENSG00000207192.1,RNU6-649P,41.12
ENSG00000224128.1,LINC01248,40.78
ENSG00000176887.7,SOX11,48.61
ENSG00000237266.2,LINC01810,42.66
ENSG00000276733.1,MIR7158,54.93
ENSG00000227007.1,LINC01247,37.89
ENSG00000226488.2,LINC01824,40.82
ENSG00000231610.1,PIK3CDP1,56.18
ENSG00000236172.7,MIR7515HG,38.53
